assay,n_assayed,n_positive_log_odds,selection_fraction,top_one_percent_precision,top_one_percent_enrichment,top_one_percent_recall,top_one_percent_retained,top_ten_percent_retained,fit_recall_at_1,unfit_recall_at_1,top_one_percent_recall_at_1,top_ten_percent_recall_at_1,best_recall_at_1,fit_recall_at_5,unfit_recall_at_5,top_one_percent_recall_at_5,top_ten_percent_recall_at_5,best_recall_at_5,fit_recall_at_8,unfit_recall_at_8,top_one_percent_recall_at_8,top_ten_percent_recall_at_8,best_recall_at_8,fit_recall_at_10,unfit_recall_at_10,top_one_percent_recall_at_10,top_ten_percent_recall_at_10,best_recall_at_10,fit_recall_at_16,unfit_recall_at_16,top_one_percent_recall_at_16,top_ten_percent_recall_at_16,best_recall_at_16,fit_recall_at_25,unfit_recall_at_25,top_one_percent_recall_at_25,top_ten_percent_recall_at_25,best_recall_at_25,fit_recall_at_32,unfit_recall_at_32,top_one_percent_recall_at_32,top_ten_percent_recall_at_32,best_recall_at_32,fit_recall_at_50,unfit_recall_at_50,top_one_percent_recall_at_50,top_ten_percent_recall_at_50,best_recall_at_50,fit_recall_at_64,unfit_recall_at_64,top_one_percent_recall_at_64,top_ten_percent_recall_at_64,best_recall_at_64,fit_recall_at_100,unfit_recall_at_100,top_one_percent_recall_at_100,top_ten_percent_recall_at_100,best_recall_at_100,fit_recall_at_128,unfit_recall_at_128,top_one_percent_recall_at_128,top_ten_percent_recall_at_128,best_recall_at_128,fit_recall_at_250,unfit_recall_at_250,top_one_percent_recall_at_250,top_ten_percent_recall_at_250,best_recall_at_250,fit_recall_at_256,unfit_recall_at_256,top_one_percent_recall_at_256,top_ten_percent_recall_at_256,best_recall_at_256,fit_recall_at_500,unfit_recall_at_500,top_one_percent_recall_at_500,top_ten_percent_recall_at_500,best_recall_at_500,top_one_percent_hit_at_8,random_top_one_percent_hit_at_8,top_ten_percent_hit_at_8,random_top_ten_percent_hit_at_8,best_hit_at_8,random_best_hit_at_8
D7PM05_CLYGR_Somermeyer_2022,1169,405,0.34644995722840033,0.012345679012345678,1.2026748971193415,0.4166666666666667,True,True,0.0,0.0037593984962406013,0.0,0.0,0.0,0.0022148394241417496,0.011278195488721804,0.0,0.0,0.0,0.004429678848283499,0.015037593984962405,0.0,0.0,0.0,0.005537098560354375,0.018796992481203006,0.0,0.0,0.0,0.009966777408637873,0.02631578947368421,0.0,0.0,0.0,0.012181616832779624,0.05263157894736842,0.0,0.0,0.0,0.018826135105204873,0.05639097744360902,0.0,0.017094017094017096,0.0,0.03433001107419712,0.07142857142857142,0.0,0.06837606837606838,0.0,0.044296788482835,0.09022556390977443,0.08333333333333333,0.08547008547008547,0.0,0.07419712070874862,0.12406015037593984,0.08333333333333333,0.13675213675213677,0.0,0.09523809523809523,0.15789473684210525,0.25,0.15384615384615385,0.0,0.19601328903654486,0.2744360902255639,0.25,0.27350427350427353,0.0,0.20155038759689922,0.2781954887218045,0.25,0.28205128205128205,0.0,0.4053156146179402,0.5037593984962406,0.5,0.5128205128205128,0.0,False,0.0794605022612268,False,0.5710095012696852,False,0.006843455945252375
ENVZ_ECOLI_Ghose_2023,1121,80,0.07136485280999108,0.0125,1.1677083333333336,0.08333333333333333,True,True,0.0013908205841446453,0.0,0.0,0.008849557522123894,0.0,0.004172461752433936,0.004975124378109453,0.0,0.008849557522123894,0.0,0.006954102920723227,0.007462686567164179,0.0,0.008849557522123894,0.0,0.008344923504867872,0.009950248756218905,0.0,0.008849557522123894,0.0,0.011126564673157162,0.01990049751243781,0.0,0.008849557522123894,0.0,0.013908205841446454,0.03731343283582089,0.0,0.008849557522123894,0.0,0.016689847009735744,0.04975124378109453,0.0,0.017699115044247787,0.0,0.031988873435326845,0.06716417910447761,0.0,0.017699115044247787,0.0,0.04172461752433936,0.0845771144278607,0.0,0.035398230088495575,0.0,0.07093184979137691,0.12189054726368159,0.16666666666666666,0.07079646017699115,0.0,0.09596662030598054,0.14676616915422885,0.16666666666666666,0.10619469026548672,0.0,0.2239221140472879,0.22139303482587064,0.16666666666666666,0.21238938053097345,0.0,0.22948539638386647,0.2263681592039801,0.16666666666666666,0.22123893805309736,0.0,0.4937413073713491,0.36069651741293535,0.5,0.5309734513274337,1.0,False,0.08274611161276424,True,0.5737959829549382,False,0.007136485280999083
GFP_AEQVI_Sarkisyan_2016,1084,380,0.3505535055350554,0.010526315789473684,1.0373205741626794,0.36363636363636365,True,True,0.0010070493454179255,0.0,0.0,0.0,0.0,0.005035246727089627,0.0,0.0,0.009174311926605505,0.0,0.007049345417925478,0.01098901098901099,0.09090909090909091,0.01834862385321101,0.0,0.00906344410876133,0.01098901098901099,0.09090909090909091,0.01834862385321101,0.0,0.015105740181268883,0.01098901098901099,0.09090909090909091,0.01834862385321101,0.0,0.023162134944612285,0.02197802197802198,0.09090909090909091,0.01834862385321101,0.0,0.030211480362537766,0.02197802197802198,0.09090909090909091,0.027522935779816515,0.0,0.044310171198388724,0.06593406593406594,0.09090909090909091,0.045871559633027525,0.0,0.054380664652567974,0.10989010989010989,0.09090909090909091,0.06422018348623854,0.0,0.08761329305135952,0.14285714285714285,0.09090909090909091,0.09174311926605505,0.0,0.11379657603222558,0.16483516483516483,0.18181818181818182,0.14678899082568808,0.0,0.2255790533736153,0.2857142857142857,0.18181818181818182,0.26605504587155965,0.0,0.23061430010070494,0.2967032967032967,0.18181818181818182,0.27522935779816515,0.0,0.46324269889224573,0.43956043956043955,0.36363636363636365,0.5688073394495413,1.0,True,0.07860048357800775,True,0.5728873656272192,False,0.0073800738007381295
HEM3_HUMAN_Loggerenberg_2023,5689,368,0.06468623659694146,0.01358695652173913,1.3560736079328757,0.08771929824561403,True,True,0.0,0.00035198873636043646,0.0,0.0,0.0,0.0014044943820224719,0.00035198873636043646,0.0,0.0,0.0,0.002106741573033708,0.0007039774727208729,0.0,0.0017574692442882249,0.0,0.0028089887640449437,0.0007039774727208729,0.0,0.0035149384885764497,0.0,0.0049157303370786515,0.0007039774727208729,0.0,0.007029876977152899,0.0,0.006671348314606741,0.0021119324181626186,0.0,0.008787346221441126,0.0,0.008426966292134831,0.0028159098908834917,0.0,0.01054481546572935,0.0,0.014044943820224719,0.0035198873636043647,0.017543859649122806,0.01757469244288225,0.0,0.01720505617977528,0.005279831045406547,0.03508771929824561,0.02460456942003515,0.0,0.026334269662921347,0.008799718409010912,0.03508771929824561,0.03163444639718805,0.0,0.033356741573033706,0.011615628299894404,0.05263157894736842,0.03690685413005272,0.0,0.06320224719101124,0.024639211545230553,0.08771929824561403,0.07381370826010544,0.0,0.06425561797752809,0.025695177754311863,0.08771929824561403,0.07381370826010544,0.0,0.11622191011235955,0.05948609644491376,0.10526315789473684,0.14586994727592267,0.0,False,0.07744546786038731,True,0.5698356150780628,False,0.0014062225347157842
KCNE1_HUMAN_Muhammad_2023_function,2315,303,0.13088552915766738,0.019801980198019802,1.91006600660066,0.25,True,True,0.0008438818565400844,0.0,0.0,0.0,0.0,0.002531645569620253,0.0017699115044247787,0.0,0.004310344827586207,0.0,0.004219409282700422,0.002654867256637168,0.0,0.008620689655172414,0.0,0.005063291139240506,0.0035398230088495575,0.0,0.01293103448275862,0.0,0.010126582278481013,0.0035398230088495575,0.0,0.017241379310344827,0.0,0.015189873417721518,0.006194690265486726,0.0,0.02586206896551724,0.0,0.019409282700421943,0.007964601769911504,0.041666666666666664,0.034482758620689655,0.0,0.032067510548523206,0.010619469026548672,0.041666666666666664,0.0603448275862069,0.0,0.04219409282700422,0.012389380530973451,0.041666666666666664,0.06465517241379311,0.0,0.06497890295358649,0.020353982300884955,0.125,0.09482758620689655,0.0,0.08523206751054853,0.023893805309734513,0.125,0.125,0.0,0.17468354430379746,0.03805309734513274,0.20833333333333334,0.2025862068965517,0.0,0.1780590717299578,0.03982300884955752,0.20833333333333334,0.20689655172413793,0.0,0.3426160337552743,0.0831858407079646,0.2916666666666667,0.35344827586206895,0.0,False,0.08010638650828628,True,0.5709382366338452,False,0.003455723542116651
KCNJ2_MOUSE_Coyote-Maestas_2022_function,6963,470,0.0674996409593566,0.02127659574468085,2.116413373860182,0.14285714285714285,True,True,0.0002870264064293915,0.0,0.0,0.0014347202295552368,0.0,0.001148105625717566,0.0002874389192296637,0.014285714285714285,0.0028694404591104736,0.0,0.0020091848450057405,0.0002874389192296637,0.014285714285714285,0.0028694404591104736,0.0,0.0025832376578645237,0.0002874389192296637,0.014285714285714285,0.00430416068866571,0.0,0.004305396096440872,0.0002874389192296637,0.014285714285714285,0.005738880918220947,0.0,0.006314580941446613,0.0008623167576889911,0.014285714285714285,0.007173601147776184,0.0,0.007462686567164179,0.0017246335153779822,0.014285714285714285,0.00860832137733142,0.0,0.010332950631458095,0.004024144869215292,0.02857142857142857,0.014347202295552367,0.0,0.012916188289322618,0.0054613394653636104,0.02857142857142857,0.01721664275466284,0.0,0.021526980482204364,0.007185972980741593,0.04285714285714286,0.03012912482065997,0.0,0.027267508610792194,0.009485484334578902,0.04285714285714286,0.03443328550932568,0.0,0.05195177956371986,0.019833285426846797,0.05714285714285714,0.06169296987087518,0.0,0.05309988518943743,0.02040816326530612,0.05714285714285714,0.06312769010043041,0.0,0.1047646383467279,0.038804254096004596,0.14285714285714285,0.11621233859397417,0.0,True,0.07768914813852934,True,0.570109791547476,False,0.0011489300588828355
LGK_LIPST_Klesmith_2015,7890,849,0.10760456273764259,0.028268551236749116,2.787985865724382,0.3,True,True,0.00025348542458808617,0.0,0.0,0.0012674271229404308,0.0,0.0005069708491761723,0.0007604562737642585,0.0,0.0012674271229404308,0.0,0.0010139416983523447,0.0010139416983523447,0.0,0.0025348542458808617,0.0,0.001520912547528517,0.0010139416983523447,0.0,0.0025348542458808617,0.0,0.0025348542458808617,0.001520912547528517,0.0,0.0025348542458808617,0.0,0.003548795944233207,0.002788339670468948,0.0125,0.0038022813688212928,0.0,0.004816223067173638,0.0032953105196451204,0.0125,0.005069708491761723,0.0,0.008365019011406844,0.004309252217997465,0.0125,0.010139416983523447,0.0,0.011153358681875792,0.005069708491761723,0.0125,0.012674271229404309,0.0,0.017997465145754118,0.007351077313054499,0.0375,0.022813688212927757,0.0,0.02332065906210393,0.009125475285171103,0.0375,0.032953105196451206,0.0,0.04283903675538656,0.02053231939163498,0.05,0.06337135614702155,0.0,0.043599493029150824,0.02129277566539924,0.05,0.06590621039290241,0.0,0.08694550063371356,0.03979721166032953,0.1625,0.12801013941698353,0.0,False,0.078327885188336,True,0.5697026079309642,False,0.0010139416983525606
MET_HUMAN_Estevam_2023,5393,416,0.07713702948266271,0.021634615384615384,2.160657051282051,0.16666666666666666,True,True,0.00030441400304414006,0.0,0.0,0.0,0.0,0.0012176560121765602,0.0004743833017077799,0.0,0.0,0.0,0.0018264840182648401,0.0009487666034155598,0.0,0.001851851851851852,0.0,0.00213089802130898,0.0014231499051233396,0.0,0.001851851851851852,0.0,0.0039573820395738205,0.0014231499051233396,0.018518518518518517,0.003703703703703704,0.0,0.006392694063926941,0.0018975332068311196,0.018518518518518517,0.005555555555555556,0.0,0.00821917808219178,0.0023719165085388993,0.018518518518518517,0.007407407407407408,0.0,0.0136986301369863,0.0023719165085388993,0.018518518518518517,0.012962962962962963,0.0,0.017351598173515982,0.003320683111954459,0.018518518518518517,0.014814814814814815,0.0,0.027092846270928464,0.005218216318785579,0.018518518518518517,0.02962962962962963,0.0,0.03561643835616438,0.005218216318785579,0.037037037037037035,0.03888888888888889,0.0,0.06879756468797564,0.011385199240986717,0.12962962962962962,0.08518518518518518,0.0,0.07062404870624049,0.011385199240986717,0.14814814814814814,0.08703703703703704,0.0,0.13972602739726028,0.019449715370018977,0.18518518518518517,0.17222222222222222,0.0,False,0.0774005795498467,True,0.570277765404581,False,0.0014834044131282198
NPC1_HUMAN_Erwood_2022_HEK293T,637,84,0.13186813186813187,0.047619047619047616,4.333333333333333,0.5714285714285714,True,True,0.004149377593360996,0.0,0.0,0.015625,0.0,0.02074688796680498,0.0,0.0,0.046875,0.0,0.03319502074688797,0.0,0.0,0.046875,0.0,0.04149377593360996,0.0,0.0,0.0625,0.0,0.058091286307053944,0.005050505050505051,0.0,0.109375,0.0,0.08713692946058091,0.010101010101010102,0.2857142857142857,0.171875,0.0,0.1078838174273859,0.015151515151515152,0.42857142857142855,0.234375,0.0,0.16597510373443983,0.025252525252525252,0.5714285714285714,0.34375,0.0,0.2033195020746888,0.03787878787878788,0.5714285714285714,0.421875,0.0,0.34024896265560167,0.045454545454545456,0.7142857142857143,0.5625,0.0,0.4315352697095436,0.06060606060606061,0.8571428571428571,0.625,1.0,0.7468879668049793,0.17676767676767677,0.8571428571428571,0.828125,1.0,0.7634854771784232,0.18181818181818182,0.8571428571428571,0.84375,1.0,1.0,0.6540404040404041,1.0,1.0,1.0,False,0.08505468386507475,True,0.5734484949050204,False,0.012558869701726927
NPC1_HUMAN_Erwood_2022_RPE1,63,10,0.15873015873015872,0.0,0.0,0.0,False,True,0.030303030303030304,0.0,0.0,0.0,0.0,0.09090909090909091,0.06666666666666667,0.0,0.14285714285714285,0.0,0.09090909090909091,0.16666666666666666,0.0,0.14285714285714285,0.0,0.12121212121212122,0.2,0.0,0.2857142857142857,0.0,0.30303030303030304,0.2,1.0,0.5714285714285714,1.0,0.5454545454545454,0.23333333333333334,1.0,0.7142857142857143,1.0,0.7272727272727273,0.26666666666666666,1.0,1.0,1.0,0.9393939393939394,0.6333333333333333,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,False,0.1269841269841272,True,0.6332216117054938,False,0.1269841269841272
