assay,n_assayed,n_positive_log_odds,selection_fraction,top_one_percent_precision,top_one_percent_enrichment,top_one_percent_recall,top_one_percent_retained,top_ten_percent_retained,fit_recall_at_1,top_one_percent_recall_at_1,top_ten_percent_recall_at_1,best_recall_at_1,fit_recall_at_5,top_one_percent_recall_at_5,top_ten_percent_recall_at_5,best_recall_at_5,fit_recall_at_8,top_one_percent_recall_at_8,top_ten_percent_recall_at_8,best_recall_at_8,fit_recall_at_10,top_one_percent_recall_at_10,top_ten_percent_recall_at_10,best_recall_at_10,fit_recall_at_16,top_one_percent_recall_at_16,top_ten_percent_recall_at_16,best_recall_at_16,fit_recall_at_25,top_one_percent_recall_at_25,top_ten_percent_recall_at_25,best_recall_at_25,fit_recall_at_32,top_one_percent_recall_at_32,top_ten_percent_recall_at_32,best_recall_at_32,fit_recall_at_50,top_one_percent_recall_at_50,top_ten_percent_recall_at_50,best_recall_at_50,fit_recall_at_64,top_one_percent_recall_at_64,top_ten_percent_recall_at_64,best_recall_at_64,fit_recall_at_100,top_one_percent_recall_at_100,top_ten_percent_recall_at_100,best_recall_at_100,fit_recall_at_128,top_one_percent_recall_at_128,top_ten_percent_recall_at_128,best_recall_at_128,fit_recall_at_250,top_one_percent_recall_at_250,top_ten_percent_recall_at_250,best_recall_at_250,fit_recall_at_256,top_one_percent_recall_at_256,top_ten_percent_recall_at_256,best_recall_at_256,fit_recall_at_500,top_one_percent_recall_at_500,top_ten_percent_recall_at_500,best_recall_at_500,top_one_percent_hit_at_8,random_top_one_percent_hit_at_8,top_ten_percent_hit_at_8,random_top_ten_percent_hit_at_8,best_hit_at_8,random_best_hit_at_8
D7PM05_CLYGR_Somermeyer_2022,1169,145,0.12403763900769889,0.041379310344827586,4.031034482758621,0.5,True,True,0.0011074197120708748,0.0,0.0,0.0,0.005537098560354375,0.08333333333333333,0.017094017094017096,0.0,0.007751937984496124,0.08333333333333333,0.02564102564102564,0.0,0.009966777408637873,0.08333333333333333,0.02564102564102564,0.0,0.016611295681063124,0.16666666666666666,0.042735042735042736,0.0,0.0221483942414175,0.16666666666666666,0.05982905982905983,0.0,0.028792912513842746,0.16666666666666666,0.05982905982905983,0.0,0.04540420819490587,0.16666666666666666,0.10256410256410256,0.0,0.058693244739756366,0.16666666666666666,0.15384615384615385,0.0,0.08748615725359911,0.4166666666666667,0.21367521367521367,1.0,0.11295681063122924,0.5,0.3076923076923077,1.0,0.23477297895902546,0.5833333333333334,0.5641025641025641,1.0,0.24141749723145073,0.6666666666666666,0.5726495726495726,1.0,0.4673311184939092,0.8333333333333334,0.8034188034188035,1.0,True,0.0794605022612268,True,0.5710095012696852,False,0.006843455945252375
ENVZ_ECOLI_Ghose_2023,1121,272,0.24264049955396966,0.007352941176470588,0.6868872549019608,0.16666666666666666,True,True,0.0,0.0,0.0,0.0,0.0027816411682892906,0.0,0.0,0.0,0.005563282336578581,0.0,0.0,0.0,0.008344923504867872,0.0,0.017699115044247787,0.0,0.013908205841446454,0.0,0.02654867256637168,0.0,0.02364394993045897,0.0,0.02654867256637168,0.0,0.030598052851182198,0.0,0.02654867256637168,0.0,0.04172461752433936,0.0,0.035398230088495575,0.0,0.05285118219749652,0.0,0.04424778761061947,0.0,0.08205841446453407,0.0,0.061946902654867256,0.0,0.1043115438108484,0.08333333333333333,0.07079646017699115,1.0,0.20166898470097358,0.16666666666666666,0.17699115044247787,1.0,0.20723226703755215,0.16666666666666666,0.18584070796460178,1.0,0.4381084840055633,0.4166666666666667,0.415929203539823,1.0,False,0.08274611161276424,False,0.5737959829549382,False,0.007136485280999083
GFP_AEQVI_Sarkisyan_2016,1084,60,0.055350553505535055,0.016666666666666666,1.6424242424242426,0.09090909090909091,True,True,0.0010070493454179255,0.0,0.0,0.0,0.005035246727089627,0.0,0.009174311926605505,0.0,0.008056394763343404,0.0,0.03669724770642202,0.0,0.010070493454179255,0.0,0.03669724770642202,0.0,0.015105740181268883,0.0,0.045871559633027525,0.0,0.02416918429003021,0.09090909090909091,0.06422018348623854,0.0,0.03121852970795569,0.09090909090909091,0.10091743119266056,0.0,0.0473313192346425,0.09090909090909091,0.11009174311926606,0.0,0.06143001007049345,0.09090909090909091,0.11926605504587157,0.0,0.09768378650553877,0.09090909090909091,0.1834862385321101,0.0,0.12588116817724068,0.18181818181818182,0.23853211009174313,0.0,0.24874118831822759,0.36363636363636365,0.44954128440366975,0.0,0.25478348439073517,0.36363636363636365,0.46788990825688076,0.0,0.48942598187311176,0.6363636363636364,0.7706422018348624,0.0,False,0.07860048357800775,True,0.5728873656272192,False,0.0073800738007381295
HEM3_HUMAN_Loggerenberg_2023,5689,501,0.08806468623659694,0.015968063872255488,1.593724831039675,0.14035087719298245,True,True,0.00035112359550561797,0.0,0.0,0.0,0.0014044943820224719,0.0,0.0017574692442882249,0.0,0.002106741573033708,0.0,0.0017574692442882249,0.0,0.0028089887640449437,0.0,0.0035149384885764497,0.0,0.004213483146067416,0.0,0.0035149384885764497,0.0,0.0052668539325842695,0.0,0.0035149384885764497,0.0,0.007022471910112359,0.0,0.008787346221441126,0.0,0.010884831460674158,0.017543859649122806,0.012302284710017574,0.0,0.014396067415730338,0.017543859649122806,0.019332161687170474,0.0,0.023525280898876403,0.05263157894736842,0.0351493848857645,0.0,0.02914325842696629,0.05263157894736842,0.03866432337434095,0.0,0.05793539325842697,0.08771929824561403,0.070298769771529,0.0,0.059691011235955056,0.08771929824561403,0.07381370826010544,0.0,0.11797752808988764,0.14035087719298245,0.140597539543058,0.0,False,0.07744546786038731,True,0.5698356150780628,False,0.0014062225347157842
KCNE1_HUMAN_Muhammad_2023_function,2315,644,0.2781857451403888,0.021739130434782608,2.0969202898550723,0.5833333333333334,True,True,0.0008438818565400844,0.0,0.0,0.0,0.0033755274261603376,0.041666666666666664,0.008620689655172414,0.0,0.005063291139240506,0.041666666666666664,0.008620689655172414,0.0,0.006751054852320675,0.041666666666666664,0.008620689655172414,0.0,0.010126582278481013,0.041666666666666664,0.01293103448275862,0.0,0.01350210970464135,0.08333333333333333,0.017241379310344827,0.0,0.018565400843881856,0.16666666666666666,0.034482758620689655,0.0,0.029535864978902954,0.20833333333333334,0.0603448275862069,0.0,0.03459915611814346,0.20833333333333334,0.06896551724137931,0.0,0.05232067510548523,0.2916666666666667,0.10344827586206896,0.0,0.06497890295358649,0.3333333333333333,0.125,1.0,0.11729957805907174,0.3333333333333333,0.1810344827586207,1.0,0.11983122362869199,0.3333333333333333,0.1810344827586207,1.0,0.22784810126582278,0.5,0.3275862068965517,1.0,True,0.08010638650828628,True,0.5709382366338452,False,0.003455723542116651
KCNH2_HUMAN_Kozek_2020,200,40,0.2,0.0,0.0,0.0,False,True,0.01,0.0,0.0,0.0,0.04,0.0,0.0,0.0,0.07,0.0,0.0,0.0,0.09,0.0,0.0,0.0,0.14,0.0,0.0,0.0,0.2,0.0,0.05,0.0,0.24,0.0,0.15,0.0,0.36,0.0,0.15,0.0,0.46,0.0,0.3,0.0,0.62,0.0,0.45,0.0,0.72,0.5,0.6,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,False,0.07859296482412048,False,0.5763563876868145,False,0.040000000000000036
KCNJ2_MOUSE_Coyote-Maestas_2022_function,6963,1142,0.1640097659055005,0.020140105078809107,2.0033650237678255,0.32857142857142857,True,True,0.0002870264064293915,0.0,0.0,0.0,0.0002870264064293915,0.0,0.0,0.0,0.000574052812858783,0.0,0.0,0.0,0.001148105625717566,0.0,0.0,0.0,0.001148105625717566,0.0,0.0,0.0,0.0031572904707233064,0.0,0.0014347202295552368,0.0,0.004018369690011481,0.014285714285714285,0.0028694404591104736,0.0,0.006888633754305396,0.04285714285714286,0.010043041606886656,0.0,0.008610792192881744,0.04285714285714286,0.01291248206599713,0.0,0.014351320321469576,0.05714285714285714,0.01721664275466284,0.0,0.019230769230769232,0.05714285714285714,0.021520803443328552,0.0,0.040183696900114814,0.14285714285714285,0.05164992826398852,0.0,0.0404707233065442,0.14285714285714285,0.05308464849354376,0.0,0.08008036739380023,0.18571428571428572,0.10329985652797705,0.0,False,0.07768914813852934,False,0.570109791547476,False,0.0011489300588828355
LGK_LIPST_Klesmith_2015,7890,586,0.07427122940430925,0.032423208191126277,3.1977389078498293,0.2375,True,True,0.00025348542458808617,0.0125,0.0012674271229404308,0.0,0.0012674271229404308,0.0125,0.0025348542458808617,0.0,0.0017743979721166034,0.0125,0.0038022813688212928,0.0,0.0022813688212927757,0.0125,0.0038022813688212928,0.0,0.0038022813688212928,0.0125,0.0076045627376425855,0.0,0.00532319391634981,0.0375,0.012674271229404309,0.0,0.0063371356147021544,0.0375,0.01394169835234474,0.0,0.00937896070975919,0.0375,0.020278833967046894,0.0,0.011913814955640051,0.0375,0.025348542458808618,0.0,0.018250950570342206,0.05,0.036755386565272496,0.0,0.022813688212927757,0.0625,0.043092522179974654,0.0,0.04512040557667934,0.1,0.07097591888466413,0.0,0.04638783269961977,0.1,0.07224334600760456,0.0,0.09100126742712294,0.2125,0.14702154626108999,0.0,True,0.078327885188336,True,0.5697026079309642,False,0.0010139416983525606
MET_HUMAN_Estevam_2023,5393,582,0.10791767105507138,0.012027491408934709,1.201190021636757,0.12962962962962962,True,True,0.00030441400304414006,0.0,0.001851851851851852,0.0,0.00030441400304414006,0.0,0.001851851851851852,0.0,0.0009132420091324201,0.0,0.001851851851851852,0.0,0.0009132420091324201,0.0,0.001851851851851852,0.0,0.0018264840182648401,0.0,0.001851851851851852,0.0,0.00426179604261796,0.0,0.007407407407407408,0.0,0.005175038051750381,0.0,0.009259259259259259,0.0,0.0091324200913242,0.018518518518518517,0.014814814814814815,0.0,0.011872146118721462,0.018518518518518517,0.014814814814814815,0.0,0.01796042617960426,0.037037037037037035,0.020370370370370372,0.0,0.024657534246575342,0.037037037037037035,0.03333333333333333,0.0,0.0532724505327245,0.07407407407407407,0.07222222222222222,0.0,0.05509893455098935,0.07407407407407407,0.07222222222222222,0.0,0.11445966514459666,0.09259259259259259,0.1388888888888889,0.0,False,0.0774005795498467,True,0.570277765404581,False,0.0014834044131282198
NPC1_HUMAN_Erwood_2022_HEK293T,637,78,0.12244897959183673,0.0641025641025641,5.833333333333332,0.7142857142857143,True,True,0.0,0.0,0.0,0.0,0.012448132780082987,0.0,0.015625,0.0,0.02074688796680498,0.0,0.015625,0.0,0.029045643153526972,0.0,0.046875,0.0,0.05394190871369295,0.0,0.125,0.0,0.08298755186721991,0.0,0.1875,0.0,0.1078838174273859,0.0,0.203125,0.0,0.16182572614107885,0.42857142857142855,0.28125,1.0,0.2074688796680498,0.42857142857142855,0.3125,1.0,0.3112033195020747,0.8571428571428571,0.515625,1.0,0.36929460580912865,0.8571428571428571,0.578125,1.0,0.6390041493775933,1.0,0.8125,1.0,0.6431535269709544,1.0,0.828125,1.0,0.950207468879668,1.0,0.96875,1.0,False,0.08505468386507475,True,0.5734484949050204,False,0.012558869701726927
NPC1_HUMAN_Erwood_2022_RPE1,63,8,0.12698412698412698,0.125,7.875,1.0,True,True,0.030303030303030304,0.0,0.0,0.0,0.15151515151515152,0.0,0.14285714285714285,0.0,0.24242424242424243,1.0,0.2857142857142857,1.0,0.30303030303030304,1.0,0.42857142857142855,1.0,0.42424242424242425,1.0,0.5714285714285714,1.0,0.5757575757575758,1.0,0.8571428571428571,1.0,0.6363636363636364,1.0,0.8571428571428571,1.0,0.8787878787878788,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,True,0.1269841269841272,True,0.6332216117054938,True,0.1269841269841272
OTC_HUMAN_Lo_2023,1570,183,0.11656050955414013,0.04371584699453552,4.289617486338798,0.5,True,True,0.001277139208173691,0.0,0.006329113924050633,0.0,0.006385696040868455,0.0,0.006329113924050633,0.0,0.010217113665389528,0.0625,0.02531645569620253,0.0,0.01277139208173691,0.0625,0.0379746835443038,0.0,0.019157088122605363,0.0625,0.056962025316455694,0.0,0.02681992337164751,0.0625,0.06962025316455696,0.0,0.034482758620689655,0.0625,0.10126582278481013,0.0,0.05363984674329502,0.125,0.13924050632911392,0.0,0.06768837803320563,0.125,0.16455696202531644,0.0,0.10727969348659004,0.375,0.310126582278481,0.0,0.13537675606641125,0.375,0.36075949367088606,0.0,0.26436781609195403,0.625,0.5379746835443038,0.0,0.2720306513409962,0.625,0.5506329113924051,0.0,0.5134099616858238,0.75,0.7658227848101266,0.0,True,0.07884886035803629,True,0.5728201722963064,False,0.005095541401273884
OXDA_RHOTO_Vanella_2023_activity,6396,516,0.08067542213883677,0.02131782945736434,2.130450581395349,0.171875,True,True,0.0,0.0,0.0,0.0,0.0006541291905151267,0.0,0.0015625,0.0,0.0011447260834014717,0.0,0.003125,0.0,0.0014717906786590352,0.015625,0.0046875,0.0,0.0024529844644317253,0.015625,0.0046875,0.0,0.003924775143090761,0.015625,0.0078125,0.0,0.004905968928863451,0.015625,0.009375,0.0,0.007849550286181521,0.015625,0.015625,0.0,0.010139002452984464,0.015625,0.021875,0.0,0.015862632869991823,0.015625,0.0375,0.0,0.020114472608340147,0.046875,0.0453125,0.0,0.03990188062142273,0.046875,0.0796875,0.0,0.04088307440719542,0.046875,0.08125,0.0,0.0794766966475879,0.171875,0.16875,0.0,False,0.07734279522842569,True,0.5699815665634516,False,0.0012507817385865039
PAI1_HUMAN_Huttinger_2021,5345,671,0.1255378858746492,0.026825633383010434,2.6552409339294587,0.3333333333333333,True,True,0.0003904724716907458,0.0,0.001869158878504673,0.0,0.001952362358453729,0.0,0.005607476635514018,0.0,0.0031237797735259665,0.018518518518518517,0.011214953271028037,0.0,0.003904724716907458,0.018518518518518517,0.011214953271028037,0.0,0.005466614603670442,0.037037037037037035,0.013084112149532711,0.0,0.008199921905505662,0.037037037037037035,0.016822429906542057,0.0,0.010542756735650137,0.037037037037037035,0.024299065420560748,0.0,0.016399843811011325,0.037037037037037035,0.03177570093457944,0.0,0.019914096056228035,0.05555555555555555,0.03925233644859813,0.0,0.031237797735259663,0.05555555555555555,0.0616822429906542,0.0,0.04099960952752831,0.05555555555555555,0.07289719626168224,0.0,0.07575165950800468,0.14814814814814814,0.12149532710280374,0.0,0.07770402186645842,0.14814814814814814,0.1233644859813084,0.0,0.14720812182741116,0.25925925925925924,0.2336448598130841,0.0,True,0.07807164024578539,True,0.5701413838490729,False,0.0014967259120672871
PHOT_CHLRE_Chen_2023,2122,194,0.09142318567389256,0.020618556701030927,1.9887535145267101,0.18181818181818182,True,True,0.0005470459518599562,0.0,0.0,0.0,0.002735229759299781,0.0,0.004694835680751174,0.0,0.0032822757111597373,0.0,0.004694835680751174,0.0,0.0038293216630196935,0.0,0.009389671361502348,0.0,0.007111597374179431,0.0,0.023474178403755867,0.0,0.012035010940919038,0.0,0.028169014084507043,0.0,0.015317286652078774,0.045454545454545456,0.03755868544600939,0.0,0.02516411378555799,0.045454545454545456,0.04225352112676056,0.0,0.03282275711159737,0.045454545454545456,0.056338028169014086,0.0,0.0525164113785558,0.13636363636363635,0.09389671361502347,1.0,0.06728665207877461,0.18181818181818182,0.12206572769953052,1.0,0.1323851203501094,0.18181818181818182,0.22535211267605634,1.0,0.1351203501094092,0.18181818181818182,0.22535211267605634,1.0,0.2603938730853392,0.45454545454545453,0.460093896713615,1.0,False,0.08012006819509421,True,0.5716059813463312,False,0.0037700282752120007
PPARG_HUMAN_Majithia_2016,9576,1564,0.1633249791144528,0.02237851662404092,2.232257033248082,0.3645833333333333,True,True,0.00013303179459890914,0.0,0.0,0.0,0.0006651589729945457,0.0,0.0,0.0,0.0010642543567912731,0.0,0.0,0.0,0.0013303179459890914,0.0,0.0010427528675703858,0.0,0.0021285087135825462,0.0,0.0010427528675703858,0.0,0.0031927630703738196,0.0,0.0010427528675703858,0.0,0.004123985632566184,0.0,0.0010427528675703858,0.0,0.006385526140747639,0.0,0.0072992700729927005,0.0,0.00784887588133564,0.020833333333333332,0.010427528675703858,0.0,0.012371956897698549,0.03125,0.013555787278415016,0.0,0.016096847146468005,0.03125,0.013555787278415016,0.0,0.03139550352534256,0.10416666666666667,0.045881126173096975,0.0,0.032060662498337104,0.11458333333333333,0.047966631908237745,0.0,0.06292403884528402,0.17708333333333334,0.11261730969760167,0.0,False,0.07746950005917652,False,0.5702318361779433,False,0.0008354218880535225
